,fnames,ssims
0,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.95061976
1,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.95460594
2,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.95979244
3,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.96461165
4,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.971643
5,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.97398686
6,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.97699386
7,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9806256
8,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9833676
9,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9833527
10,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9850542
11,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9877761
12,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9885999
13,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.99018717
14,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.99267673
15,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test1.h5,0.9949918
16,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.969632
17,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9708573
18,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9708696
19,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.97052723
20,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.96953076
21,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9705061
22,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9724349
23,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9751738
24,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9771613
25,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9784798
26,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.97837675
27,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9793635
28,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.98222333
29,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9879758
30,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.9945209
31,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test2.h5,0.99977845
32,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9757257
33,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.97836334
34,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9794057
35,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9812889
36,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.98284596
37,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9829573
38,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9829552
39,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9849325
40,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.98508203
41,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.986034
42,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9875861
43,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.9885022
44,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.98788524
45,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.98762107
46,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.99111974
47,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test3.h5,0.99542904
48,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.942139
49,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9538089
50,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.95593166
51,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.96037877
52,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.963359
53,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9692345
54,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9720458
55,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.97810614
56,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9776865
57,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9804732
58,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9797427
59,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9833239
60,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.98537654
61,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9871317
62,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9890444
63,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test4.h5,0.9917941
64,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9402718
65,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9447501
66,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9530037
67,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9578086
68,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.96497583
69,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.97102183
70,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.97581613
71,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9792629
72,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.97981185
73,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9833341
74,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9845738
75,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9871949
76,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.98905534
77,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9911729
78,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.9944139
79,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test5.h5,0.99720323
80,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.95445746
81,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.9615798
82,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.9655218
83,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.968007
84,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.9699368
85,result/JB/VarNet/reconstructions_forward/VarNet_test_sj/brain_test6.h5,0.97501236
